language,language,proportion
Aboriginal,2,0.05324813631522897
Arabic,1,0.026624068157614485
Aramaic,1,0.026624068157614485
Bosnian,1,0.026624068157614485
Cantonese,7,0.1863684771033014
Czech,1,0.026624068157614485
Danish,3,0.07987220447284345
Dari,2,0.05324813631522897
Dutch,3,0.07987220447284345
English,3598,95.7933972310969
Filipino,1,0.026624068157614485
French,34,0.9052183173588925
German,10,0.26624068157614483
Hebrew,1,0.026624068157614485
Hindi,5,0.13312034078807242
Hungarian,1,0.026624068157614485
Indonesian,2,0.05324813631522897
Italian,7,0.1863684771033014
Japanese,10,0.26624068157614483
Kazakh,1,0.026624068157614485
Korean,5,0.13312034078807242
Mandarin,15,0.3993610223642172
Maya,1,0.026624068157614485
Mongolian,1,0.026624068157614485
None,1,0.026624068157614485
Norwegian,4,0.10649627263045794
Persian,3,0.07987220447284345
Portuguese,5,0.13312034078807242
Romanian,1,0.026624068157614485
Russian,1,0.026624068157614485
Spanish,23,0.6123535676251332
Thai,3,0.07987220447284345
Vietnamese,1,0.026624068157614485
Zulu,1,0.026624068157614485
